"term","estimate","std.error","statistic","p.value","outcome","n_ASD","n_control","bonf_p.value","q.value"
"trt",0.52239259428273,0.212490981800697,2.4584224227111,0.0146998888409677,"alpha_coh_Pz_T5",199,33,1,0.512536124255073
"trt",0.453018987788673,0.193631137459213,2.33959782364082,0.0201118052851683,"beta_coh_P4_C4",213,35,1,0.665402860794801
"trt",0.533094123641678,0.228594812396058,2.33204821252922,0.0205549891705319,"beta_coh_F7_O1",202,34,1,0.665402860794801
"trt",0.488173755112384,0.210103585123408,2.32349083822461,0.020992633275553,"gamma_coh_F4_Fz",207,36,1,0.665402860794801
"trt",0.547138047693166,0.238353311058102,2.29549170206322,0.0225980925616752,"gamma_coh_F7_O1",202,34,1,0.671395038524374
"trt",0.176535562735855,0.0770934456026862,2.28989068209067,0.0228384493352732,"bp_theta_F7",223,38,1,0.671395038524374
"trt",0.504378232721925,0.223007794206845,2.26170674668932,0.0246583967167191,"theta_coh_Pz_T5",199,33,1,0.671395038524374
"trt",0.541078937661504,0.23960995748455,2.25816549254383,0.0248944486060145,"beta_coh_Pz_Fz",194,35,1,0.671395038524374
"trt",0.398791393854737,0.17729520516941,2.24930726961105,0.025385277087041,"theta_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.525000073240551,0.235299605488899,2.23119827230361,0.0266244481260186,"gamma_coh_F4_O1",201,35,1,0.671395038524374
"trt",0.555262408718966,0.251042290841418,2.21182816193197,0.0280829571433782,"delta_coh_T4_F8",179,30,1,0.671395038524374
"trt",0.458432284373879,0.209286449258394,2.19045373457447,0.029438073631203,"gamma_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.330882962311584,0.151333104132782,2.18645460428315,0.0297692869106652,"alpha_coh_F8_P4",205,34,1,0.671395038524374
"trt",0.470378621812971,0.215954840036552,2.17813419571127,0.0304037392025522,"gamma_coh_O2_Fz",203,33,1,0.671395038524374
"trt",0.495682445719305,0.22798658856009,2.17417370403198,0.0307838840674505,"beta_coh_Pz_F3",185,34,1,0.671395038524374
"trt",0.0614299558021452,0.0283154886077232,2.16948245722272,0.0308994905875697,"kurt_C3",239,41,1,0.671395038524374
"trt",0.404566255357606,0.186317808351533,2.1713772770142,0.0309973229195935,"alpha_coh_Pz_O1",187,32,1,0.671395038524374
"trt",0.362179798045183,0.166988477948523,2.16889094681629,0.0310859178972519,"delta_coh_C4_O1",208,33,1,0.671395038524374
"trt",0.300294786158427,0.138729022856317,2.16461400776566,0.0313755861499328,"alpha_coh_P4_Fz",215,36,1,0.671395038524374
"trt",0.397061193767717,0.184514266678537,2.15192679089407,0.032384651760592,"delta_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.258893514924088,0.120056614019729,2.15642859027778,0.0327107011960797,"alpha_coh_Pz_Fp1",131,17,1,0.671395038524374
